Title,Description,Category,Ingredients,Time_prep,Time_cook,Preparation,Image URL
Choux de Bruxelles,"Les choux de Bruxelles c'est un peu la bête noire des choux, notre pire souvenir de la cantine, un plat souvent accompagné d'un « beurk » ! Quel dommage pourtant, car bien cuisiné et surtout avec des choux de Bruxelles frais et non surgelés, les choux de Bruxelles sont très bons ! Découvrez cette recette de choux de Bruxelles, très facile et rapide à réaliser, vous vous demanderez pourquoi vous ne pas l'avez pas fait plus tôt ! Et pour les enfants qui rechignent à en manger rien de tel qu'un bon plat fait maison pour leur faire changer d'avis !Voir plusVoir moins",Variantes,"{'Chou(x) de Bruxelle': '1 kg', 'Ail': '3 gousse(s)', 'Beurre': '1 noix', 'Crème fraîche': '1 filet', 'Persil ciselé': '1 c. à soupe', 'Sel poivre': ''}",Total :25 min,Total :25 min,"Étape 1Dans un autocuiseur, versez un volume d'eau salée (environ ¼ de la hauteur) et portez à ébullition. Pendant ce temps, lavez les choux de Bruxelles sous un filet d'eau froide puis éliminez les feuilles fanées.
Étape 2Jetez les choux de Bruxelles dans l'eau bouillante, attendez la reprise de l'ébullition, et faites cuire sous pression pendant 7 à 8 min puis égouttez. Si vous ne possédez pas d'autocuiseur, vous pouvez utiliser une grande casserole d'eau salée, cela prendra simplement un peu plus de temps.
Étape 3Dans une sauteuse, faites fondre le beurre, ajoutez les choux de Bruxelles et faites dorer légèrement. Ajoutez l'ail pelé et haché, le sel, le poivre et mélangez bien.
Étape 4Ajoutez la crème fraîche et faites réduire en laissant mijoter à feu doux quelques minutes. Pour finir, saupoudrez vos choux de Bruxelles de persil. Salez et poivrez à votre convenance. Servez chaud.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i113872-choux-de-bruxelles.jpg', 'alt': 'choux de bruxelles'}, 'fichiers_telecharges': ['images_tartiflette\\i113872-choux-de-bruxelles.jpg']}"
"Pasta alla  norma (pâtes siciliennes aux aubergines, tomates et ricotta)","Les pasta alla norma sont des pâtes siciliennes aux aubergines, tomates et ricotta, un véritable classique de la gastronomie italienne qui sent bon le soleil et la Méditerranée. Raffiné et pourtant facile à préparer, ce plat complet enchante à tous les âges avec sa robe de sauce tomate et ses aubergines fondantes. Même les enfants se régalent de légumes sans broncher et finissent par en redemander, c'est dire si ce plat simple et généreux réchauffe les cœurs et les palais. À vos fourchettes, pronti ?Voir plusVoir moins",Variantes,"{'Pâtes': '320 g', 'Aubergine(s)': '2', 'Tomate(s) pelée(s)': '600 g', 'Ail': '2 gousse(s)', 'Ricotta': '200 g', 'Basilic': '', ""Huile d'olive"": '', 'Huile pour friture': '', 'Sel poivre': ''}",Total :40 min,Total :40 min,"Étape 1Pelez et hachez l'ail. Faites-le dorer dans une poêle avec 2 c. à soupe d'huile d'olive. Ajoutez les tomates pelées et laissez mijoter à petit feu pendant 10 min. Passez le mélange au chinois puis au mixeur pour obtenir un coulis. Faites-le chauffer à nouveau dans la poêle jusqu'à obtenir une sauce épaisse. Retirez du feu et ajoutez un peu de basilic ciselé, réservez.
Étape 2Lavez les aubergines, retirez les extrémités et coupez le reste en fines rondelles. Faites chauffer de l'huile dans une friteuse ou un faitout. Faites-y frire les rondelles jusqu'à ce qu'elles soient bien dorées. Egouttez-les sur du papier absorbant en fin de cuisson.
Étape 3Faites cuire les pâtes dans une casserole d'eau bouillante salée en suivant les instructions du paquet.
Étape 4Coupez les aubergines frites en morceaux et réchauffez-les dans une poêle à sec sur le feu. Ajoutez la sauce tomate et rectifiez l'assaisonnement si besoin. Quand les pâtes sont cuites, égouttez-les et versez-les dans la poêle. Laissez chauffer quelques minutes puis servez dans les assiettes avec du basilic ciselé et de la ricotta.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2024/08/16/i199466-pasta-alla-norma-pates-siciliennes-aux-aubergines-tomates-et-ricotta.jpg', 'alt': 'Pasta alla  norma (pâtes siciliennes aux aubergines, tomates et ricotta)'}, 'fichiers_telecharges': ['images_tartiflette\\i199466-pasta-alla-norma-pates-siciliennes-aux-aubergines-tomates-et-ricotta.jpg']}"
Poisson à la sauce tomate épicée,"Avec ce bon plat, bien sur un peu de riz pour accompagner ne sera pas de refus... Et un bon vin blanc fruité (de provence).
N'hésitez pas à laisser des commentaires.
Bonne appétit.Voir plusVoir moins",Variantes,"{'Cabillaud': '4 filets', 'Oignon(s)': '1', 'Échalote(s)': '2', 'Ail': '2 gousse(s)', 'Tomate(s)': '1 quartier(s)', 'Concentré de tomates': '1 boîte(s)', 'Persil': '', 'Bouquet(s) garni(s)': '1', 'Clou(s) de girofle': '2', ""Huile d'olive"": '', 'Piment rouge': '1', 'Vin blanc sec': '1 verre(s)', 'Eau': '500 ml'}",Total :50 min,Total :50 min,"Étape 1Émincez finement l'oignon, les échalotes, l'ail, et le persil.
Étape 2Dans une casserole, remplissez généreusement le fond avec de l'huile d'olive.
Étape 3Ensuite mettez l'oignon, les échalotes, l'ail, le persil, le bouquet garni, les clous de girofles, et (un petit peu) du piment rouge dans la casserole.
Étape 4Remuez pendant 3 à 5 min à feu moyen.
Étape 5Mettez ensuite l'eau en même temps que le concentré de tomates, remuez bien, et mettez le verre de vin blanc, remuez souvent. Laissez mijoter 10 min.
Étape 6Plongez les poissons, et la tomate en petits quartiers au court bouillon dans la casserole pendant 15 min (le temps varie avec le poisson ""congelé, frais"", attention).
Étape 7(Si vous mettez des poisson en pavé congelés ""type marque findus"" faites cuire 8 min, une fois cuit sortez les poissons et emballez-les dans du papier d'aluminium).","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i12560-poisson-a-la-sauce-tomate-epicee.jpg', 'alt': 'Poisson à la sauce tomate épicée'}, 'fichiers_telecharges': ['images_tartiflette\\i12560-poisson-a-la-sauce-tomate-epicee.jpg']}"
"Poêlée de pommes de terre, courgettes et poivrons",N/A,N/A,"{'Pomme(s) de terre': '10', 'Courgette(s)': '3', 'Poivron(s) rouge(s)': '1', 'Poivron(s) vert(s)': '1', 'Bouillon de légumes': '2 cube(s)', ""Huile d'olive"": '', 'Persil': '', 'Ail': '', 'Poivre': ''}",Total :50 min,Total :50 min,"Étape 1Pelez puis lavez les pommes de terre. Lavez et épépinez les poivrons. Lavez puis pelez les courgettes. Coupez tous ces légumes en dés.
Étape 2Mettez une poêle au feu. Versez-y 3 c. à soupe d’huile puis laissez chauffer. Versez les dés de légumes dans l’huile chaude et faites-les cuire sur feu doux pendant 15 min.
Étape 3À mi-cuisson, incorporez les cubes de bouillon et 1 verre d’eau, l'ail pelé et haché, le persil ciselé et du poivre. Mélangez et poursuivez la cuisson 15 min.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i106607-poelee-de-pommes-de-terre-courgettes-et-poivrons.jpg', 'alt': 'poelee de pommes de terre courgettes et poivrons'}, 'fichiers_telecharges': ['images_tartiflette\\i106607-poelee-de-pommes-de-terre-courgettes-et-poivrons.jpg']}"
"Velouté de carotte et de courge au lait de coco, gingembre et curry","C'est une recette de velouté tout en douceur et riche en parfums que nous vous proposons aujourd'hui. Le petit goût sucré des carottes et de la courge butternut se mariant à la douceur du lait de coco est rehaussé par la chaleur des épices...
Une recette simple et réconfortante pour affronter les premiers frimas de l'automne.Voir plusVoir moins",Variantes,"{'Carotte(s)': '500 g', 'Courge butternut': '600 g', 'Oignon(s)': '1', 'Lait de coco': '25 cl', 'Eau': '50 cl', 'Bouillon de légumes': '1 cube(s)', 'Huile': '1 c. à soupe', 'Sel poivre': '', 'Curry': '', 'Gingembre': '', 'Coriandre': 'Quelques feuilles'}",Total :35 min,Total :35 min,"Étape 1Épluchez vos légumes et coupez-les en petits morceaux pour une cuisson plus rapide. Faites chauffer l'huile dans votre casserole et ajoutez les morceaux de légumes. Faites-les rissoler quelques minutes en les mélangeant.
Étape 2Versez l'eau, ajoutez la marmite de bouillon, salez, poivrez et épicez à votre goût. Couvrez à hauteur avec le lait de coco. Si vos légumes ne sont pas à fleur du liquide, ajoutez un peu d'eau. Couvrez et laissez cuire 20 à 25 minutes.
Étape 3À l'aide d'un mixeur plongeant, mixez le contenu de votre casserole. Rectifiez éventuellement l'assaisonnement et servez vos veloutés agrémentés de quelques feuilles ciselées de coriandre.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2017/10/02/i132735-veloute-de-carotte-et-de-courge-au-lait-de-coco-gingembre-et-curry.jpeg', 'alt': 'Velouté de carotte et de courge au lait de coco, gingembre et curry'}, 'fichiers_telecharges': ['images_tartiflette\\i132735-veloute-de-carotte-et-de-courge-au-lait-de-coco-gingembre-et-curry.jpeg']}"
Gratin de chou-fleur allégé pas cher en 10 min,"Un gratin de chou-fleur light pour accompagner viandes et poissons. C'est une recette de légume incontournable. En effet le chou-fleur peut-être assaisonné avec bon nombre d'ingrédients et peut être cuisiné dans des soupes, tartes, soufflés et gratins comme ici. Alors découvrez cette recette composée de chou-fleur, d'oeufs et de lait.Voir plusVoir moins",Variantes,"{'Chou-fleur': '1', 'Œuf(s)': '2', 'Lait': '1 tasse(s)', 'Ail': '1 Gousse', 'Persil frais': '1 bouquet(s)', 'Muscade': '', 'Sel, poivre': ''}",Total :35 min,Total :35 min,"Étape 1Préchauffez le four à 180°C (th.6).
Étape 2Coupez la tige et détachez les bouquets du chou-fleur. Faites-les cuire dans un grand volume d'eau salée à ébullition, jusqu'à ce qu'ils soient tendres.
Étape 3Pendant ce temps, battez les oeufs dans un saladier avec le lait, le sel, poivre, le persil et la muscade. Épluchez la gousse d'ail, puis hachez-la finement. Ajoutez-la à votre appareil à gratin.
Étape 4Disposez les bouquets de chou-fleur dans un plat à gratin, puis ajoutez la préparation aux oeufs. Enfournez pour 25 min. Servez chaud.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2018/02/12/i135625-recette-gratin-chou-fleur-minceur.jpeg', 'alt': 'Gratin de chou-fleur allégé pas cher en 10 min'}, 'fichiers_telecharges': ['images_tartiflette\\i135625-recette-gratin-chou-fleur-minceur.jpeg']}"
Gratin de brocolis léger,Certains légumes peuvent prendre une dimension gourmande insoupçonnée lorsqu'ils sont cuisinés en gratin. C'est le cas du brocoli qui est sublimé dans cette recette par une béchamel sans beurre et qui est rehaussée d'une pointe de muscade. Ce gratin de brocolis léger est rapide à préparer et savoureux à souhait.Voir plusVoir moins,Variantes,"{'Brocoli(s)': '1 kg', 'Lait écrémé': '100 ml', 'Gruyère râpé': '60 g', 'Maïzena': '1 c. à soupe', ""Huile d'olive"": '1 filet', 'Noix de muscade': '1 pincée(s)', 'Sel poivre': ''}",Total :30 min,Total :30 min,"Étape 1Préchauffez le four à th.7 (210°C)
Étape 2Lavez le brocoli, détachez les bouquets et faites-les cuire 6 min à la vapeur.
Étape 3Pendant ce temps, préparez la béchamel: versez la maïzena dans une casserole et délayez-la tout d'abord dans un petit volume de lait écrémé froid, puis ajoutez peu à peu le reste de lait tout en mélangeant. Faites épaissir à feu doux sans jamais cesser de remuer. Ajoutez la noix de muscade et assaisonnez à votre convenance. Réservez.
Étape 4Disposez le brocoli dans un plat à gratin légèrement huilé puis nappez de béchamel. Ajoutez le gruyère et enfournez pour 15  min puis laisser dorer quelques minutes dans le four en mode grill.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2018/01/19/i135182-gratin-de-brocolis-leger.jpeg', 'alt': 'Gratin de brocolis léger'}, 'fichiers_telecharges': ['images_tartiflette\\i135182-gratin-de-brocolis-leger.jpeg']}"
Sauté de crevettes aux brocolis,C'est un délice très léger et bien pour le soir.Voir plusVoir moins,Variantes,"{'Crevettes roses décortiquées': '500 g', 'Brocoli(s)': '600 g', 'Beurre': '', 'Oignon(s)': '', 'Ail': '', 'Ciboulette': '', 'Persil': '', 'Sel, poivre': '', 'Sauce au beurre': ''}",Total :35 min,Total :35 min,"Étape 1Plongez les brocolis dans l'eau bouillante salée (ne cuisez pas trop longtemps, ils doivent être croquants).
Étape 2Pendant ce temps, décortiquez les crevettes. Ensuite, faites revenir dans le beurre l'oignon et l'ail émincés.
Étape 3Ajoutez-y les crevettes. Salez et poivrez. Faites-les revenir pendant 3 min.
Étape 4Quand les brocolis sont cuits, ajoutez-les aux crevettes et laissez cuire environ 3 min.
Étape 5Pour la sauce, suivez les instructions du sachet. Versez la sauce sur la préparation et les crevettes brocolis.
Étape 6Mettez sur les dessus, ciboulette et persil. Servez chaud. Bon appétit !","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2017/06/22/i129395-saute-de-crevettes-aux-brocolis.jpeg', 'alt': 'Sauté de crevettes aux brocolis'}, 'fichiers_telecharges': ['images_tartiflette\\i129395-saute-de-crevettes-aux-brocolis.jpeg']}"
Quiche au brocoli et saumon fumé fait maison,"Cette Quiche au Brocoli et Saumon Fumé combine des saveurs délicates et riches, faisant d'elle un choix parfait pour un repas léger ou un brunch élégant.Voir plusVoir moins",Variantes,"{'Pâte(s) feuilletée(s)': '1 rouleau', 'Brocoli(s)': '1', 'Saumon fumé': '100 g', 'Crème fraîche': '25 cl', 'Œuf(s)': '4', 'Gruyère râpé': '', 'Beurre': ''}",Total :50 min,Total :50 min,"Étape 1Préchauffez le four à 180°C (th.6).
Étape 2Versez de l’eau dans une casserole et portez-la à ébullition. Plongez-y le brocoli et laissez-le blanchir 10 min.
Étape 3Coupez le saumon en fines lamelles. Egouttez le brocoli et détachez les fleurettes.
Étape 4Déroulez la pâte feuilletée au fond d'un moule. Répartissez le brocoli sur la pâte, puis les lamelles de saumon.
Étape 5Battez les œufs avec la crème fraîche et le fromage râpé. Salez, poivrez et versez dans le moule.
Étape 6Enfournez pour 20 min.
Étape 7Servez.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/03/15/i78816-quiche-au-brocoli-et-saumon-fume-fait-maison.jpg', 'alt': 'Quiche au brocoli et saumon fumé fait maison'}, 'fichiers_telecharges': ['images_tartiflette\\i78816-quiche-au-brocoli-et-saumon-fume-fait-maison.jpg']}"
Poulet aux courgettes et curry au Cookeo,Préparer un repas léger pour toute la famille n’aura jamais été si simple et si rapide qu’avec le robot multi-cuiseur de Moulinex. Préparez cette recette de poulet aux courgettes et au curry en quelques minutes seulement : vous aurez tout juste le temps de dresser la table que vous pourrez déjà commencer votre repas.Voir plusVoir moins,Variantes,"{'Blanc(s) de poulet': '4', 'Courgette(s)': '3', 'Poivron(s) vert(s)': '2', 'Poivron(s) jaune(s)': '', 'Pâte de curry': '1 c. à soupe', 'Oignon(s)': '2', ""Huile d'olive"": '2 c. à soupe', 'Crème liquide': '20 cl', 'Tomate concassée': '1 boîte(s)', 'Eau': '10 cl', 'Ail': '1 Gousse', 'Persil': '2 Branches', 'Sel poivre': ''}",Total :15 min,Total :15 min,"Étape 1Faites chauffer le Cookeo en mode “dorer” et faites revenir dans un filet d’huile les blancs de poulet coupés dés en veillant à les mélanger régulièrement pour assurer une cuisson uniforme.
Étape 2Ajoutez les oignons et les poivrons émincés ainsi que la gousse d’ail écrasée puis laissez revenir quelques minutes supplémentaires.
Étape 3Versez les tomates concassées, l'eau, la pâte de curry et crème liquide. Mélangez délicatement et ajoutez les courgettes coupées en rondelles.
Étape 4Programmez le Cookeo en mode “cuisson rapide” ou “cuisson sous pression”/départ immédiat. Ajustez le temps de cuisson sur 5 min. Fermez le couvercle et laissez cuire.
Étape 5Quand la cuisson est terminée, ouvrez le Cookeo et assaisonnez à votre convenance. Ajoutez le persil ciselé avant de servir.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2020/03/09/i152341-poulet-aux-courgettes-et-curry-au-cookeo.jpeg', 'alt': 'Poulet aux courgettes et curry au Cookeo'}, 'fichiers_telecharges': ['images_tartiflette\\i152341-poulet-aux-courgettes-et-curry-au-cookeo.jpeg']}"
