Title,Ingredients,Time,Preparation,Image URL
Tartiflette facile et rapide,"{'Pomme de terre à chair ferme': '1,5 kg', 'Reblochon': '500 g', 'allumette(s) de lardon fumé': '150 g', 'Crème fraîche épaisse': '100 g', 'Vin blanc sec': '1 verre(s)', 'Oignon(s)': '3', 'Huile': '3 c. à soupe', 'Gros sel': '1 c. à soupe', 'Poivre blanc': '10 grain', 'Noix de muscade': '1 pincée(s)'}",Total :1 h 5 min,"Étape 1Lavez soigneusement les pommes de terre. Remplissez un grand faitout d’eau et jetez-y le gros sel. Plongez les pommes de terre dans l’eau et faites-les cuire pendant 20 min après la reprise de l’ébullition.
Étape 2Pelez et émincez les oignons, en veillant bien à ôter le germe. Dans une poêle, faites chauffer l’huile et faites-y revenir les oignons émincés. Lorsqu’ils deviennent translucides, ajoutez-y les allumettes de lardons fumés. Poursuivez la cuisson en remuant régulièrement à l’aide d’une cuillère en bois, jusqu’à ce que les oignons et les lardons soient bien dorés. Déglacez la poêle avec le vin blanc et poursuivez la cuisson pendant 5 min. Réservez.
Étape 3Préchauffez le four th.6-7 (200°C). Découpez le reblochon en longues lamelles. Dans un pilon, écrasez les grains de poivre blanc. Pelez les pommes de terre cuites et coupez-les en grosses rondelles.
Étape 4Beurrez un grand plat à four ou de petits contenants individuels. Saupoudrez de noix de muscade et parsemez de poivre blanc concassé. Répartissez-y les pommes de terre, puis les oignons et les lardons dorés au vin blanc. Recouvrez le tout de crème fraîche, puis étalez-y les lamelles de fromage. Enfournez la tartiflette pendant 30 min, jusqu’à ce que le reblochon forme une croûte bien dorée et gratinée.
Étape 5Servez votre délicieuse tartiflette bien chaude, dès la sortie du four, accompagnée d’une belle salade verte à la vinaigrette et d’un verre de vin blanc de Savoie.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i28489-photo-de-tartiflette.jpeg', 'alt': 'Tartiflette facile et rapide'}, 'fichiers_telecharges': ['images_tartiflette\\i28489-photo-de-tartiflette.jpeg']}"
Soupe de courge butternut à tomber par terre,"{'Courge butternut': '1', 'Oignon(s)': '1', 'Bouillon de volaille': '1 cube(s)', ""Huile d'olive"": '2 c. à soupe', 'Crème fraîche': '1 c. à soupe', 'Muscade': '1 pincée(s)', 'Cumin': '1 pincée(s)', 'Sel': '1 pincée(s)'}",Total :1 h 10 min,"Étape 1Pelez la courge et taillez-la en lamelles de 1 cm d'épaisseur. Épépinez-les et tranchez-les en dés de 4 cm. Pelez et ciselez finement l'oignon. Réservez.
Étape 2Faites chauffer l'huile dans une marmite avant d'y faire dorer l'oignon ciselé. Ajoutez les dés de courge. Laissez mijoter pendant 10 min à feu moyen.
Étape 3Au bout de ce délai, incorporez le cube de bouillon émietté, le sel, la muscade et le cumin. Mouillez d'eau à hauteur. Couvrez la marmite, et laissez mijoter la soupe de courge butternut pendant 50 min sur feu moyen.
Étape 4Mixez ensuite la soupe à l'aide d'un mixeur plongeant jusqu'à obtenir un velouté bien lisse et onctueux. Ajoutez alors la crème fraîche, et mixez à nouveau quelques minutes. Corrigez l'assaisonnement si besoin.
Étape 5Servez bien chaude dans des assiettes creuses.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2017/06/22/i129502-soupe-de-courge-butternut-a-tomber-par-terre.jpeg', 'alt': 'Soupe de butternut'}, 'fichiers_telecharges': ['images_tartiflette\\i129502-soupe-de-courge-butternut-a-tomber-par-terre.jpeg']}"
Gratin de chou-fleur,"{'Chou-fleur': '1,2 kg', 'Beurre': '50 g', 'Ciboulette': '10 brin(s)', 'Sel': '1 pincée(s)', 'Farine': '50 g', 'Lait': '75 cl', 'Gruyère râpé': '70 g', 'Noix de muscade': '1 pincée(s)', 'Poivre': '1 pincée(s)'}",Total :1 h 10 min,"Étape 1Coupez le chou-fleur en tout petits bouquets en veillant à bien retirer les parties vertes et les feuilles. Plongez les bouquets dans un faitout d’eau bouillante salée et faites-les cuire pendant environ 15 min. Égouttez-les et gardez-les au chaud dans une assiette ou un plat couvert.
Étape 2Pour la préparation de la sauce béchamel, faites fondre le beurre sans le faire brûler. Versez la farine et mélangez progressivement pour obtenir une préparation bien lisse et homogène. Versez ensuite le lait, la noix de muscade, salez et poivrez. Faites cuire la sauce en mélangeant jusqu’à ce qu'elle épaississe. Poursuivez la cuisson 10 min à feu très doux. Hors du feu, ajoutez la moitié du fromage râpé, la ciboulette et les bouquets de chou-fleur. Mélangez bien le tout.
Étape 3Préchauffez le four th.7 (210°C). Beurrez des petits moules ou un grand plat à gratin et versez le gratin de chou-fleur. Saupoudrez du reste de gruyère et placez quelques noisettes de beurre. Enfournez et faites cuire 20 min. Le dessus doit être gratiné.
Étape 4Démoulez votre gratin de chou-fleur et servez bien chaud dans des assiettes. Pour la présentation, placez un brin de persil au-dessus au moment du dressage.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i45705-photo-de-gratin-de-chou-fleur.jpeg', 'alt': 'Gratin de chou-fleur'}, 'fichiers_telecharges': ['images_tartiflette\\i45705-photo-de-gratin-de-chou-fleur.jpeg']}"
Purée de pommes de terre maison,"{'Pomme(s) de terre': '500 g', 'Ail': '1 gousse(s)', 'Lait': '10 cl', 'Crème fraîche': '1 c. à soupe', 'Beurre': '10 g', 'Sel poivre': ''}",Total :45 min,"Étape 1Pelez vos pommes de terre, rincez-les bien et déposez-les dans une marmite avec les gousses d'ail pelées. Couvrez d'eau froide légèrement salée.
Étape 2Portez à ébullition, puis faites cuire environ 25 min, jusqu'à ce que les pommes de terre soient suffisamment molles pour pouvoir s'écraser. En fin de cuisson, faites tiédir le lait.
Étape 3Dès qu'elles sont cuites, égouttez vos pommes de terre et vos gousses d'ail dans une passoire, puis écrasez-les à la fourchette ou au presse-purée dans un saladier, en ajoutant progressivement le lait tiède, la crème fraiche et le beurre.
Étape 4Quand la purée a bien tout absorbé, il ne vous reste plus qu'à l'assaisonner avec la muscade, du sel et du poivre.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i37576-puree-de-pommes-de-terre-maison.jpeg', 'alt': 'Purée de pommes de terre maison   '}, 'fichiers_telecharges': ['images_tartiflette\\i37576-puree-de-pommes-de-terre-maison.jpeg']}"
Courge farcie au fromage,"{'Courge butternut': '2', 'Semoule': '100 g', 'Cheddar râpé': '80 g', 'Oignon(s)': '1', 'Curry': '1 pincée(s)', 'Romarin': 'tiges', 'Crème liquide': '10 cl', ""Huile d'olive"": '', 'Sel, poivre': ''}",Total :45 min,"Étape 1Faites cuire les courges dans une casserole d'eau bouillante salée pendant 25 minutes.
Étape 2Pendant ce temps, préparez la semoule en suivant les instructions du paquet.
Étape 3Coupez les courges en deux, retirez les pépins et creusez la pulpe délicatement.
Étape 4Pelez et émincez l'oignon. Faites chauffer un filet d'huile d'olive dans une poêle et faites-y suer l'oignon pendant 1 minute.
Étape 5Ajoutez la pulpe des courges et poursuivez la cuisson encore 5 minutes. Salez, poivrez et ajoutez le curry. Mélangez bien.
Étape 6Hors du feu, ajoutez la semoule cuite, le cheddar râpé, la crème liquide et le romarin effeuillé. Mélangez bien. Farcissez les courges avec ce mélange.
Étape 7Placez les courges sous le gril du four pendant 10 minutes jusqu'à ce que le farce soit gratinée. Servez sans attendre.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2015/11/09/i54809-courge-farcie-au-fromage.jpg', 'alt': 'Courge farcie au fromage de Julie Willekens'}, 'fichiers_telecharges': ['images_tartiflette\\i54809-courge-farcie-au-fromage.jpg']}"
Soupe d'hiver aux macaroni,"{'Macédoine de légumes surgelée': '1 paquet(s)', 'Macaroni(s)': '150 g', 'Tomate(s)': '2', 'Bouillon de poulet': '2 cube(s)', 'Huile': '1 c. à soupe', 'Sel poivre': ''}",Total :20 min,"Étape 1Faites bouillir 2 l d'eau dans une grande casserole. Ajoutez 1 c. à soupe d'huile et 2 c. à soupe de gros sel. Jetez y les macaronis, laissez cuire 12 min. Dans une autre casserole, chauffez 1 l d'eau.
Étape 2Dés le début de l'ébullition, mettez le bouillon de poulet. Ajoutez les légumes surgelés, baissez le feu cuire 10 min. Passez les tomates sous le robinet d'eau chaude et pelez les pressez pour extraire les pépins.
Étape 3Coupez en petits morceaux, mettez dans le bouillon, faites cuire encore 5 min. Egouttez les macaronis et ajoutez les à la soupe, mélangez et servez.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i107842-soupe-d-hiver-aux-macaroni.jpg', 'alt': 'soupe d hiver aux macaroni'}, 'fichiers_telecharges': ['images_tartiflette\\i107842-soupe-d-hiver-aux-macaroni.jpg']}"
Gratin de pâtes et chou-fleur,"{'Chou-fleur': '1', 'Pâtes': '200 g', 'Œuf(s)': '1', 'Crème liquide': '20 cl', 'Gruyère râpé': '50 g', 'Sel poivre': ''}",Total :50 min,"Étape 1Faites bouillir de l'eau dans une grande casserole. Plongez les pâtes dedans et faites cuire pendant 4 min.
Étape 2Pendant ce temps, lavez le chou fleur et détaillez-le en bouquets. Ajoutez les bouquets de chou-fleur dans la casserole et poursuivez la cuisson pendant 6 min. Égouttez et réservez.
Étape 3Dans un bol, mélangez la crème liquide avec l'œuf, salez et poivrez.
Étape 4Dans un plat à gratin, disposez les pâtes et le chou-fleur. Couvrez avec la préparation à la crème. Parsemez de fromage râpé. Enfournez le gratin pendant 20 min (four préchauffé à 180°C). Sortez le gratin du four et dégustez bien chaud.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2018/11/09/i144023-gratin-de-pates-et-chou-fleur.jpeg', 'alt': 'gratin de pâtes et chou-fleur'}, 'fichiers_telecharges': ['images_tartiflette\\i144023-gratin-de-pates-et-chou-fleur.jpeg']}"
Tarte d'hiver fromage blanc et ricotta,"{'Pâte(s) brisée(s)': '1 rouleau', 'Fromage blanc': '200 g', 'Ricotta': '200 g', 'Fécule': '2 c. à soupe', 'Sucre': '4 c. à soupe', 'Cassonade': '', 'Orange(s)': 'zeste', 'Chocolat noir pâtissier': '0,5 plaque(s)'}",Total :55 min,"Étape 1Préchauffez le four à  th.6 (180°C).
Étape 2Garnissez un moule beurré et fariné avec la pâte à tarte.
Étape 3Fouettez ensemble le fromage blanc, la ricotta, le sucre et le zeste râpé fin d'une orange.
Étape 4Ajoutez la fécule et mélangez bien.
Étape 5Répartissez sur la pâte et enfournez pour 40 min.
Étape 6A la sortie du four, laissez tiédir, puis décorez de chocolat noir fondu.
Étape 7Servez froid.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/01/25/i94091-tarte-d-hiver-fromage-blanc-et-ricotta.jpg', 'alt': ""Tarte d'hiver fromage blanc et ricotta""}, 'fichiers_telecharges': ['images_tartiflette\\i94091-tarte-d-hiver-fromage-blanc-et-ricotta.jpg']}"
Risotto aux épinards,"{'Riz à risotto': '200 g', ""Jeune pousse d'épinard"": '100 pousse(s)', 'Oignon(s)': '1', ""Huile d'olive"": '2 c. à soupe', 'Eau': '60 cl', 'Sel poivre': ''}",Total :35 min,"Étape 1Nettoyez et épongez les pousses d'épinards. Hachez-les finement.
Étape 2Pelez et hachez finement l’oignon.
Étape 3Faites chauffer l'huile d'olive dans une grande casserole.
Étape 4Faites-y suer l'oignon pendant 2 minutes.
Étape 5Lorsque l'oignon haché est bien doré, ajoutez le riz et remuez jusqu’à ce qu’il devienne translucide.
Étape 6Ajoutez un peu d'eau, préalablement chauffée, dans la poêle.
Étape 7Laisser le riz absorber l'eau sur feu doux puis ajoutez les pousses d'épinards hachés.
Étape 8Rajoutez petit à petit de l'eau jusqu’à ce que le riz soit cuit, en mélangeant régulièrement.
Étape 9A la fin de la cuisson, quand le risotto est cuit, rectifiez l’assaisonnement en sel et en poivre puis mélangez bien.
Étape 10Servez immédiatement le risotto aux épinards dans les assiettes.
Étape 11Dégustez accompagné de volaille ou de poisson.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/04/i79740-risotto-aux-epinards.jpg', 'alt': 'Risotto aux épinards'}, 'fichiers_telecharges': ['images_tartiflette\\i79740-risotto-aux-epinards.jpg']}"
Tian de légumes d'hiver,"{'Pomme(s) de terre': '4', 'Oignon(s) rouge(s)': '2', 'Betterave(s) rouge(s)': '2', 'Patate(s) douce(s)': '1', 'Radis noir': '1', 'Ail': '2 gousse(s)', ""Huile d'olive"": '5 c. à soupe', 'Vinaigre de cidre': '3 c. à soupe', 'Herbes de provence': '2 c. à café', 'Sel, poivre': ''}",Total :1 h 20 min,"Étape 1Épluchez les pommes de terre et les oignons rouges. Lavez soigneusement les betteraves rouges. Retirez les extrémités. Lavez le radis noir et la patates douces. Retirez les extrémités du radis noir.
Étape 2Coupez l'ensemble des légumes en fines rondelles avec un couteau bien aiguisé ou une mandoline.
Étape 3Badigeonnez un plat à gratin d'huile d'olive. Disposez les rondelles de légumes dans le plat en les serrant bien.
Étape 4Pelez les gousses d'ail et hachez-les finement. Répartissez l'ail entre les rondelles de légumes. Dans un petit récipient, mélangez le vinaigre et l'huile d'olive. Ajoutez les herbes de Provence, salez et poivrez. Versez quelques c. à soupe de cette préparation sur le tian.
Étape 5Enfournez pendant  le tian de légumes d'hiver pendant 1 heure  (four préchauffé à 180°C). Dégustez bien chaud.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2018/07/10/i140912-tian-de-legumes-d-hiver.jpeg', 'alt': ""tian de légumes d'hiver""}, 'fichiers_telecharges': ['images_tartiflette\\i140912-tian-de-legumes-d-hiver.jpeg']}"
