Title,Description,Category,Ingredients,Time,Preparation,Image URL
Fondue de poireaux de ma grand-mère,"Légère mais non moins gourmande, la fondue de poireaux accompagne à la perfection poissons, volailles, pâtes ou riz. En bon caméléon culinaire, elle garnit tout aussi bien les tartes salées que les lasagnes au saumon. Pour ne rien gâcher, elle mise sur un légume présent toute l’année sur nos marchés ! Succombez à cette garniture subtile et onctueuse, liée avec une touche de crème fraîche, qui met du raffinement dans nos petits plats du quotidien.Voir plusVoir moins",Variantes,"{'Poireau(x)': '800 g', 'Beurre': '30 g', 'Crème fraîche': '3 c. à soupe', 'Moutarde': '1 c. à café', 'Jus de citron': '1 filet', 'Sel': '2 pincée(s)', 'Poivre': '1 pincée(s)'}",Total :50 min,"Étape 1Triez et lavez soigneusement les poireaux, puis coupez-les en tranches.
Étape 2Dans une poêle, faites fondre le beurre. Ajoutez les poireaux, mélangez et baissez sur feu doux. Couvrez et laissez fondre pendant 30 min.
Étape 3Incorporez la moutarde puis mélangez. Versez ensuite la crème fraîche et le jus de citron, puis faites réduire pendant 10 min.
Étape 4Salez, poivrez, et dégustez aussitôt.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/12/13/i114536-.jpeg', 'alt': 'Fondue de poireaux de ma grand-mère'}, 'fichiers_telecharges': ['images_tartiflette\\i114536-.jpeg']}"
Minestrone aux lardons,"C'est un repas complet et très simple à réaliser.
On peut ajouter les pâtes au moment de servir, pour ne pas qu'elles soient trop cuites.Voir plusVoir moins",N/A,"{'Haricots rouges': '1 boîte(s)', 'Haricots blancs': '1 c. à soupe', 'Petits pois': '1 boîte(s)', 'Épinards (surgelé)': '300 g', 'Lardons': '1 paquet(s)', 'Ricotta': '400 g', 'Bouillon cube(s)': '3 cube(s)', 'Échalote(s)': '3', 'Oignon(s)': '2', ""Huile d'olive"": '', 'Sel poivre': ''}",Total :1 h 50 min,"Étape 1Dans une sauteuse, faîtes revenir dans l'huile d'olive les échalotes et les oignons émincés.
Étape 2Quand ils sont bien dorés, ajoutez les lardons. Pendant ce temps, mettez les épinards surgelés au micro-ondes afin qu'ils décongèlent et commencent à cuire.
Étape 3A coté, mettez deux litres d'eau à bouillir dans une casserole.
Étape 4Ajoutez dans la sauteuse les petits pois carottes, les haricots blancs et rouges égouttés, ainsi que les épinards. Faîtes revenir quelques minutes.
Étape 5Pendant ce temps, diluez le bouillon dans l'eau bouillante puis versez-le sur le mélange de légumes.
Étape 6Salez, poivrez à votre goût. Laissez mijoter au moins 1 h 30.
Étape 7Puis, refaites bouillir et ajoutez les tortellinis. Dès que ceux-ci sont cuits, servez.
Étape 8Bon appétit!","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/11/i113313-mnestrone-aux-lardons.jpg', 'alt': 'Mnestrone aux lardons'}, 'fichiers_telecharges': ['images_tartiflette\\i113313-mnestrone-aux-lardons.jpg']}"
"Feuilletés au potimarron, chèvre, jambon et miel",N/A,Variantes,"{'Pâté': '4 feuilles', 'Potimarron': '1', 'Fromage de chèvre': '1', 'Jambon fumé': '4 tranche(s)', 'Miel': '', 'Thym frais': '8', 'Crème liquide': '', 'Pignon(s) de pin': '', 'Beurre': '60 g', 'Sel poivre': ''}",Total :30 min,"Étape 1Préchauffez le four à 200°C (th.6-7).
Étape 2Lavez le potimarron dans une bassine d’eau.
Étape 3Sur votre planche de cuisine, découpez 8 tranches de potimarron larges de 4x8 cm.
Étape 4Mettez 20 g de beurre dans une sauteuse au feu.
Étape 5Faites-y cuire les tranches de potimarron.
Étape 6Assaisonnez au sel et au poivre selon votre goût.
Étape 7Versez 1 c. à café de miel sur les tranches de potimarron.
Étape 8Retournez-les à l’aide de la spatule et répandez à nouveau 1 c. à café de miel dessus.
Étape 9Dès qu’elles sont caramélisées, retirez la sauteuse du feu.
Étape 10Assaisonnez au thym. Placez une poêle antiadhésive au feu.
Étape 11Faites-y griller le jambon.
Étape 12Retirez-les de la poêle et mettez-les dans une assiette.
Étape 13À leur place, mettez 2 c. à soupe de pignons de pin.
Étape 14Mettez le fromage de chèvre dans une assiette.
Étape 15Ajoutez les pignons de pin grillés et un peu de thym.
Étape 16Incorporez 1 c. à soupe de crème et un peu de poivre.
Étape 17Mélangez et réservez. Mettez 40 g de beurre dans une petite casserole.
Étape 18Laissez-le fondre à feu doux.
Étape 19Prenez ensuite 1 feuille de filo.
Étape 20Pliez-la en 2 et recouvrez sa surface de beurre à l’aide d’un pinceau de cuisine.
Étape 21Disposez 1 tranche de jambon à travers la largeur de la feuille de filo.
Étape 22Étalez ensuite 1 tranche de potimarron dessus.
Étape 23À l’aide d’une cuillère, déposez un tas du mélange de fromage sur le montage.
Étape 24Étalez le fromage et reposez 1 tranche de potimarron dessus.
Étape 25Fermez la tranche de jambon sur l’étalage.
Étape 26Enroulez le tout en tartinant avec le beurre.
Étape 27Fermez le rouleau comme un paquet.
Étape 28Réalisez ainsi les feuilletés avec le reste des composants.
Étape 29Enduisez la plaque du four de beurre.
Étape 30Disposez la préparation dessus et enfournez pendant 15 min.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/10/05/i83290-feuillete-potiron.jpg', 'alt': 'feuilleté potiron'}, 'fichiers_telecharges': ['images_tartiflette\\i83290-feuillete-potiron.jpg']}"
Parmentier de canard facile,"Vous cherchez des idées de recettes de fêtes de fin d'année pour satisfaire à coup sûr vos convives ? Un plat au four facile à préparer, rapide et surtout pas trop cher ? Le hachis parmentier de canard est un excellent compromis. Une onctueuse purée de pommes de terre maison pour le côté économique et du canard confit pour le côté festif. Le tour est joué !Voir plusVoir moins",Variantes,"{'Confit de canard': '2 boîte(s)', 'Échalote(s)': '6', 'Pomme(s) de terre': '2 kg', 'Fromage râpé': '', 'Beurre': 'morceau(x)', ""Huile d'olive"": '', 'Lait': '10 cl', 'Persil plat': 'branche(s)', 'Sel, poivre': ''}",Total :1 h 30 min,"Étape 1Pour commencer, pelez et émincez les échalotes ou oignons puis faites-les chauffer à feu moyen dans la graisse du canard qui enrobe les cuisses de canard confites. Récupérez les cuisses de canard et mettez à rissoler avec les oignons émincés. Retirez, et ôtez la peau des cuisses puis effilochez soigneusement la viande. Hachez le persil plat. Mélangez la viande, les échalotes et le persil haché.
Étape 2Épluchez et coupez les pommes de terres en gros morceaux. Faites cuire les pommes de terre dans un volume de bouillon de volaille jusqu'à ce qu'elle soient assez cuites pour en faire une purée de pommes de terre (environ 15-20 min à ébullition).
Étape 3Sortez les pommes de terres cuites du bouillon et mettez-les dans un saladier, puis à l'aide d'une fourchette ou d'un presse purée, écrasez-les. Une fois que les pommes de terre ont bien été écrasées ajoutez le lait au fur et à mesure tout en mélangeant bien jusqu'à l'obtention de la texture souhaitée.
Étape 4Préchauffez le four th.6 (180°C). Mettez la viande au fond du plat à gratin allant au four, puis la purée. Ajoutez un peu de fromage râpé, et quelques morceaux de beurre pour que la purée ne dessèche pas.
Étape 5Salez, poivrez puis enfournez pour environ 25 min pour faire gratiner votre parmentier de canard. Une fois qu'il est bien doré, sortez-le du four et servez aussitôt accompagné d'une salade verte bien assaisonnée.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i6348-parmentier-de-canard.jpeg', 'alt': 'Parmentier de canard'}, 'fichiers_telecharges': ['images_tartiflette\\i6348-parmentier-de-canard.jpeg']}"
"Gratin de riz aux légumes d'hiver, coppa et cantal râpé","Si vous êtes en hiver et que vous souhaitez un plat rustique et roboratif qui tienne au corps; voici une recette de gratin de riz aux légumes d'hiver, coppa et Cantal râpé qui sera idéal pour les journées hivernales. Ainsi retrouvez dans cette recette du choux vert et blanc, du riz, des carottes et un appareil au Cantal et à la crème. Dégustez-le avec un verre de vin et savourez votre repas.Voir plusVoir moins",Variantes,"{'Crème chantilly': '50 cl', 'Riz blanc': '400 g', 'Carotte(s)': '4', 'Chou blanc': '0,25 c', 'Chou vert': '0,25', 'Œuf(s)': '6', 'Oignon(s)': '0,5', 'Poivron(s) rouge(s)': '0,5', 'Cantal': '80 g', 'Coppa': '3 tranche(s)', 'Échalote(s)': '1', 'Chapelure': '4 c. à soupe', ""Huile d'olive"": '2 c. à soupe', 'Beurre': '1', 'Coriandre en poudre': '1 c. à café', 'Cumin': '1 c. à café', 'Sel poivre': ''}",Total :2 h 15 min,"Étape 1Préchauffez le four à th.6-7 (180-200°C).
Étape 2Épluchez et émincez en fines lamelles l'oignon et l’échalote puis émincez également le poivron. Dans une poêle, faites réduire le tout dans le beurre et l'huile d'olive durant quelques minutes puis réservez. Pendant ce temps, coupez les carottes en julienne ainsi que les choux en prenant soin de réserver quelques feuilles de chou vert.
Étape 3Dans une casserole d'eau légèrement salée, cuisez votre julienne de légumes en surveillant régulièrement la cuisson avec une lame de couteau. Cuisez parallèlement le riz blanc dans une autre casserole. Dans un saladier, mélangez les œufs avec la crème, la coriandre et le cumin. Salez et poivrez. Réservez.
Étape 4Couvrez le fond d'un plat à gratin de feuilles de chou vert préalablement cuites à l'eau.
Étape 5Dans un grand saladier, mélangez la julienne de légumes cuite, et le mélange oignon/échalote/poivron avec le riz. Versez le tout dans le plat à gratin sur les feuilles de chou. Versez par-dessus le mélange oeufs battus/crème.
Étape 6Déposez sur le dessus les tranches de coppa et de bacon. Saupoudrez de chapelure et du Cantal râpé.
Étape 7Enfournez 20 min environ et servez aussitôt votre gratin de riz aux légumes d'hiver, coppa et cantal râpé?","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/02/25/i73415-gratin-legumes.jpg', 'alt': 'gratin légumes'}, 'fichiers_telecharges': ['images_tartiflette\\i73415-gratin-legumes.jpg']}"
Boeuf bourguignon facile et rapide,"Traditionnel plat du dimanche, le boeuf bourguignon est très économique. Le principe est de le cuisiner en grande quantité car il est bien meilleur réchauffé. Un plat principal 2 en 1, c'est LA recette qu'il faut adopter !Voir plusVoir moins",Variantes,"{'Bœuf': '1,2 kg', 'Carotte(s)': '2', 'Champignon(s)': '250 g', 'Oignon(s)': '2', 'Farine': '3 c. à soupe', 'Vin rouge': '1,5 l', ""Huile d'olive"": '2 c. à soupe', 'Lardons': '100 g', 'Ail': '1 gousse(s)', 'Bouquet(s) garni(s)': '1', 'Sel poivre': ''}",Total :3 h 10 min,"Étape 1Commencez par dégraisser la viande en retirant un maximum de gras au couteau et retaillez-la en morceaux de taille moyenne. Vous pouvez demander à votre boucher de réaliser cette étape pour vous.
Étape 2Faites ensuite chauffer 2 c. à soupe d'huile d'olive dans une grande cocotte et faites-y revenir la viande de boeuf. Il est impératif que la viande de votre bœuf bourguignon reste bleue à l'intérieur pour éviter une sur-cuisson et lui permettre de mijoter plus lentement. Cependant, toutes les faces de vos morceaux de boeuf doivent être légèrement colorées, d'où la nécessité de remuer de manière constante.
Étape 3Pendant ce temps, lavez et épluchez les carottes puis découpez-les en morceaux ou en rondelles selon la manière dont vous avez l'habitude de manger votre bœuf bourguignon. Une fois la viande correctement saisie, ajoutez-y les lardons et faites cuire 1 minute. Ajoutez ensuite les oignons ciselés, l'ail et les carottes et laissez cuire 2 minutes. Enfin, ajoutez la farine par intermittence en prenant soin de bien remuer entre chaque cuillerée pour éviter la formation de grumeaux. Rajouter alors le vin, et le bouquet garni. Salez et poivrez le tout à votre convenance.
Étape 4Laissez mijoter dans une cocote minute le tout pendant environ 2h30 à 2h45 à feu doux en ajoutant les champignons au bout d'une heure et remuant régulièrement pour ne pas que la viande attache dans le fond de la cocotte. Enfin, servez votre bœuf bourguignon cuit accompagné de quelques pommes de terre ou de tagliatelles.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i94631-boeuf-bourguignon.jpg', 'alt': 'Boeuf bourguignon'}, 'fichiers_telecharges': ['images_tartiflette\\i94631-boeuf-bourguignon.jpg']}"
Tarte à l'oignon et au fromage,N/A,N/A,"{'Pâte(s) feuilletée(s)': '1', 'Oignon(s)': '4', 'Crème fraîche épaisse': '1 c. à soupe', 'Gruyère râpé': '50 g', 'Parmesan râpé': '50 g', 'Sel, poivre': ''}",Total :30 min,"Étape 1Préchauffez le four à 210°C.
Étape 2Pelez et découpez les oignons en lamelles.
Étape 3Etalez la pâte feuilletée dans un moule à tarte recouvert de papier cuisson.
Étape 4Piquez le fond avec une fourchette.
Étape 5Etalez la crème fraîche épaisse sur le fond de pâte feuilletée puis répartissez les lamelles d'oignons sur le dessus.
Étape 6Parsemez les lamelles d’oignons de gruyère et de parmesan râpés. Salez et poivrez les lamelles d’oignons et les fromage râpés selon vos goûts.
Étape 7Enfournez et faites cuire la tarte aux oignons pendant 20 minutes, jusqu'à ce qu’elle soit bien croustillante et dorée.
Étape 8A la sortie du four, laissez tiédir la tarte aux oignons sur une grille puis démoulez-la sur un plat de service.
Étape 9Servez la tarte aux oignons tiède ou froide accompagnée d'une salade verte assaisonnée.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/04/28/i22980-tarte-a-l-oignon-et-au-fromage.jpg', 'alt': 'tarte a l oignon et au fromage'}, 'fichiers_telecharges': ['images_tartiflette\\i22980-tarte-a-l-oignon-et-au-fromage.jpg']}"
Poulet à la crème,N/A,N/A,"{'Poulet': '4', 'Crème fraîche semi-épaisse': '1 pot(s)', 'Coeur de bouillon ® MAGGI®': '1'}",Total :20 min,"Étape 1Coupez grossièrement les aiguillettes de poulet.
Étape 2Faîtes-les revenir à la poêle à feu moyen pendant 10 min.
Étape 3Ajoutez la crème fraîche.
Étape 4En fin de cuisson, ajoutez 1 capsule de CŒUR DE BOUILLON® MAGGI® Volaille et mélangez jusqu'à la fonte du bouillon.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2013/12/20/i12200-poulet-a-la-creme.jpeg', 'alt': 'Poulet à la crème'}, 'fichiers_telecharges': ['images_tartiflette\\i12200-poulet-a-la-creme.jpeg']}"
Velouté de céleri au foie gras,"Winter is coming ! L’hiver approche, il fait déjà très froid et les fêtes arrivent également à grands pas. En cette période, Cuisine AZ aime vous proposer de délicieux veloutés qui vont vous réchauffer mais aussi vous donner le plein d’énergie  pour le réveillon ! Réalisez cet onctueux et très raffiné velouté de céleri au foie gras, vous ne serez pas déçu ! En plus d’être très économique, ce plat est ultra facile et très rapide à préparer !Voir plusVoir moins",Variantes,"{'Céleri': '1 tête', 'Foie gras de canard': '1 tranche(s)', 'Crème fraîche': '10 cl', 'Sel poivre': ''}",Total :25 min,"Étape 1Préparez le céleri
Étape 2Coupez la base de votre céleri et coupez-le également au ras des feuilles.
Étape 3Séparez les branches et épluchez chacune d’elles à l’économe pour en retirer les fils.
Étape 4Lavez correctement votre céleri puis séchez-le à l’aide de papier absorbant.
Étape 5Portez à ébullition une casserole d’eau salée. Ajoutez-y votre céleri, recouvrez et laissez cuire environ 20 min à feu doux.
Étape 6Une fois votre céleri bien tendre, sortez-le de l’eau et mixez-le en ajoutant progressivement le bouillon dans lequel il a cuit pour atteindre la consistance souhaitée.
Étape 7Finalisez le velouté
Étape 8Remettez votre céleri sur feu doux et ajoutez-y le foie gras, la crème. Salez et poivrez.
Étape 9Laissez cuire 15 min.
Étape 10Dressez
Étape 11Mixez le tout et servez dans des verrines. Votre velouté doit être très onctueux.
Étape 12Servez froid ou chaud selon vos envies et accompagnez vos verrines de délicieuses petites brochettes de pains grillés sur lesquelles vous aurez déposé un peu de confit d’oignon et que vous aurez refermé d’un cube de foie gras, le tout monté sur des piques. Vous pouvez également le présenter sous forme de toasts.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2014/12/16/i77968-veloute-de-celeri-au-foie-gras.jpg', 'alt': 'Velouté de céleri au foie gras'}, 'fichiers_telecharges': ['images_tartiflette\\i77968-veloute-de-celeri-au-foie-gras.jpg']}"
Gigot en pot au feu,N/A,N/A,"{""Gigot d'agneau"": '1 kg', 'Carotte(s)': '6', 'Oignon(s)': '10', 'Poireau(x)': '3', 'Branches de céleri': '3', 'Chou blanc': '0,5', 'Bouquet(s) garni(s)': '1', 'Gros sel': '', 'Poivre en grain': '1 c. à soupe'}",Total :1 h 10 min,"Étape 1Pelez les carottes et les oignons. Effeuillez les branches de céleri et coupez-les en tronçons. Nettoyez les poireaux, éliminez une bonne partie du vert et émincez-les.
Étape 2Nettoyez le morceau de chou, coupez-le en gros quartiers et faites-les blanchir 5 min dans de l'eau bouillante salée, puis égouttez-le.
Étape 3Prévoyez un grand faitout plutôt haut qui pourra recevoir le gigot et les légumes. Remplissez-le d'eau aux 3/4 et faites bouillir.
Étape 4Ajoutez 1 c. à soupe de gros sel, le poivre et le bouquet garni.
Étape 5Quand l'eau frémit, réglez le feu. Ficelez solidement le gigot, attachez-le par deux solides ficelles au manche d'une grande cuillère de bois que vous poserez en travers du faitout, afin que le gigot trempe dans l'eau sans toucher le fond.
Étape 6Comptez 35 min de cuisson (8 min par livre) pour obtenir une viande rose. Prolongez si vous aimez mieux cuit.
Étape 7Après 20 min de cuisson, ajoutez les légumes, y compris le chou.
Étape 8En fin de cuisson, égouttez les légumes et disposez-les dans le plat de service. Détachez le gigot, tranchez-le et servez tout ensemble avec différentes moutardes, des cornichons, des légumes au vinaigre et du gros sel gris.","{'sources': [], 'image_principale': {'url': 'https://img.cuisineaz.com/660x495/2016/09/19/i42784-gigot-en-pot-au-feu.jpg', 'alt': 'Gigot en pot au feu'}, 'fichiers_telecharges': ['images_tartiflette\\i42784-gigot-en-pot-au-feu.jpg']}"
