Title,Ingredients,Time,Preparation,Image URL
Tajine de poulet aux épices,"Poulet1,5 kgCarotte(s)1,2 kgRaisins secs100 gAmande(s) mondée(s)100 gAbricots secs6Oignon(s)4Ail2 gousse(s)Bouquet(s) garni(s) (persil, thym, laurier)1Graine de coriandre1 c. à caféCumin en poudre1 c. à caféCannelle1 bâton(s)Noix de muscade râpée1 pincée(s)Bouillon de volaille50 clHuile d'olive5 clSel1 pincée(s)Poivre1 pincée(s)",Total :1 h 30 min,"Étape 1À l’aide d’un couteau bien aiguisé, désossez le poulet et coupez sa chair en gros morceaux : cuisses, ailerons, blancs, etc. Pelez et hachez l’ail puis épluchez et émincez les oignons. Pilez grossièrement les amandes ainsi que les graines de coriandre.
Étape 2Dans un plat à tajine ou une grande cocotte, versez l’huile d’olive et faites-la chauffer sur feu moyen. Déposez-y les morceaux de poulet et faites-les revenir pendant une dizaine de minutes jusqu’à ce qu’ils soient bien colorés sur toutes les faces. Ôtez la viande du tajine ou de la cocotte et réservez.
Étape 3Faites revenir dans le tajine ou la cocotte les oignons émincés avec les amandes pilées. Laissez-les cuire pendant 5 min jusqu’à coloration également. Remettez les morceaux de poulet dans le tajine ou la cocotte. Ajoutez l’ail haché, le bouquet garni, le cumin en poudre, les graines de coriandre pilées, le bâton de cannelle et la noix de muscade râpée. Salez et poivrez selon votre goût puis mélangez bien à l’aide d’une cuillère en bois. Arrosez le tout de bouillon de volaille, puis baissez le feu à feu doux et laissez mijoter pendant 25 min en remuant régulièrement.
Étape 4Pendant ce temps, épluchez et coupez les carottes en rondelles. Au bout des 25 min, ajoutez-les dans la cocotte ou le tajine avec les raisins et les abricots secs. Poursuivez la cuisson pendant 25 min supplémentaires, toujours à feu doux. Servez aussitôt ce tajine marocain dès la fin de la cuisson, accompagné de semoule de blé saupoudrée de cannelle."
N/A,,N/A,
Soupe mange graisse au chou,Chou blanc1Céleri1 branche(s)Carotte(s)3Oignon(s)2Gingembre10 gBouillon de légumes1 cube(s)Eau2 l,Total :1 h 10 min,"Étape 1Lavez le chou puis faites-le blanchir dans l'eau bouillante 2 à 3 min. Sortez-le et plongez-le dans l'eau froide pour qu'il conserve sa couleur. Laissez-le ensuite refroidir. Pendant ce temps, Lavez le céleri puis coupez-le en petits morceaux. Épluchez les carottes puis lavez-les et coupez-les en fines rondelles. Épluchez les oignons et émincez-les. Pelez le gingembre et râpez-le finement avec une Microplane ou à la mandoline.
Étape 2Remplissez d'eau une marmite puis ajoutez le bouillon de légumes. Faites fondre le cube de bouillon à feu doux. Lorsqu'il est fondu, ajoutez tous les ingrédients pour réaliser la soupe au chou puis mélangez doucement. Laissez mijoter ensuite 1 heure à couvert pour ne pas perdre les arômes.
Étape 3À la fin de la cuisson, versez la soupe aux choux à l'aide d'une louche dans un bol de soupe puis servez immédiatement."
Galette des Rois frangipane de ma grand-mère,"Pour la galette des rois :Pâte feuilletée(s)2Poudre d'amandes125 gSucre en poudre100 gBeurre mou70 gŒuf(s)1Blanc(s) d’œuf(s)1Rhum1 c. à soupeFève(s)1Eau
Pour la dorure :Jaune d'œuf(s)1",Total :45 min,"Étape 1Préchauffez le four à 210° en chaleur tournante.
Étape 2Dans le bol du robot ou dans un saladier, mélangez le beurre mou avec le sucre jusqu’à obtenir une consistance crémeuse. Ajoutez l'œuf entier et le blanc, la poudre d'amande, la vanille et le rhum. Mélangez pour obtenir une préparation homogène.
Étape 3Abaissez les deux pâtes feuilletées, découpez-y deux cercles de même diamètre, environ 28 cm. Déposez un premier disque de pâte sur une plaque de cuisson tapissée d’un papier sulfurisé. Répartissez-y la frangipane sur en laissant un bord d'environ 2 ou 3 cm. Cachez-y la fève.
Étape 4Au pinceau, humidifiez le rebord de pâte. Déposez le deuxième disque au-dessus. Appuyez légèrement avec vos doigts pour souder les bords des deux pâtes sur tout le tour de la galette. Chiquetez les bords pour une soudure parfaite : entaillez-les légèrement tous les 2 cm.
Étape 5Au pinceau, badigeonnez toute la surface de jaune d’œuf. Avec la pointe d'un couteau, dessinez le décor de votre choix à la surface de votre galette en veillant à ne pas percer la pâte.
Étape 6Enfournez 30 à 40 min. Prolongez la cuisson si nécessaire, la galette doit être parfaitement dorée."
Lasagnes à la bolognaise facile,"Pour la lasagne maison :Bœuf haché300 gFeuille(s) de lasagne0,5 paquet(s)Pulpe de tomate800 gOignon(s)1Ail1 GousseGruyère râpé100 gParmesan râpé50 gHuile d'olive4 c. à soupeBeurre20 gHerbes de provence1 c. à soupeSucre1 c. à soupeSel2 pincée(s)Poivre2 pincée(s)
Pour la sauce béchamel :Farine70 gBeurre70 gLait50 clNoix de muscade1 pincée(s)Sel1 pincée(s)Poivre1 pincée(s)",Total :1 h 20 min,"Étape 1Pelez et émincez finement l'oignon et la gousse d'ail. Faites-les revenir à feu doux dans une casserole avec 2 c. à soupe d'huile d'olive jusqu'à ce que l'oignon devienne translucide. Ajoutez la pulpe de tomate, le sucre, les herbes de Provence, le sel et le poivre. Laissez mijoter à feu doux pendant 20 minutes.
Étape 2Pendant que la sauce tomate mijote, faites revenir le bœuf haché dans une poêle avec 2 c. à soupe d'huile d'olive pendant 3 à 5 minutes à feu moyen. Salez, poivrez, puis mélangez-le à la sauce tomate. Laissez mijoter ensemble quelques minutes supplémentaires.
Étape 3Dans une casserole, faites fondre 70 g de beurre. Ajoutez la farine hors du feu et mélangez au fouet. Versez le lait progressivement en fouettant pour éviter les grumeaux. Replacez sur feu doux et laissez épaissir tout en mélangeant régulièrement. Assaisonnez avec du sel, du poivre et une pincée de noix de muscade.
Étape 4Préchauffez le four à 180°C (th.6). Graissez le fond et les parois d’un plat à gratin avec un peu de beurre fondu. Déposez une première couche de feuilles de lasagne, nappez de béchamel, puis ajoutez une couche de garniture à la sauce tomate et au bœuf. Parsemez de gruyère râpé. Répétez l'opération jusqu'à épuisement des ingrédients, en terminant par une couche de béchamel et du parmesan râpé.
Étape 5Enfournez le plat de lasagnes pendant environ 45 minutes, jusqu’à ce que le dessus soit bien doré et gratiné. Vérifiez la cuisson des pâtes en piquant avec la pointe d’un couteau.
Étape 6Laissez reposer les lasagnes hors du four pendant 5 à 10 minutes pour faciliter la découpe. Servez en belles portions rectangulaires, accompagné d'une salade verte."
Pommes de terre grenaille au four,Pommes de terre grenailles500 gRomarin3 brin(s)Gros sel1 c. à soupeHuile d'olive3 c. à soupe,Total :55 min,"Étape 1Préchauffez le four à 200° C. Lavez et séchez les pommes de terre grenaille. Ajoutez dans un saladier les pommes de terre, le gros sel, le romarin et l'huile d'olive. Mélangez bien jusqu'à ce que les pommes de terre soient bien imprégnées des aromates.
Étape 2Puis disposez le tout sur une plaque de cuisson recouverte de papier aluminium. Enfournez pendant 45 min. Le temps de cuisson peut varier selon la taille des pommes de terre et la puissance de votre four. Pour vérifier la cuisson des pommes de terre, plantez un couteau au cœur d'une pomme de terre. Si elle retombe, c'est qu'elle est cuite.
Étape 3Lorsque les pommes de terre sont bien cuites et bien dorées, sortez-les du four et disposez-les dans un plat de présentation. Servez aussitôt."
Potée au chou vert,Chou vert1Saucisse(s)4Lard2 tranche(s)Pomme(s) de terre8Carotte(s)4Oignon(s)2Ail2 gousse(s)Échalote(s)2Huile d'olive1 c. à soupeBouillon cube(s)1Laurier2 feuillesClou(s) de girofle4SelPoivre,Total :1 h 10 min,"Étape 1Commencez par préparer les légumes. Épluchez et hachez les échalotes et l'ail. Lavez, pelez et découpez les carottes en tronçons de 2 cm d'épaisseur. Pelez aussi les oignons avant de les diviser en deux. Piquez-les avec les clous de girofle.
Étape 2Nettoyez bien le chou vert. Portez à ébullition une grande casserole d’eau salée. Plongez-y les feuilles de chou vert pendant 5 minutes. Égouttez-les ensuite.
Étape 3Dans une cocotte, faites suer les échalotes et l’ail hachés dans l’huile d’olive pendant 5 minutes. Ajoutez-y les carottes et poursuivez la cuisson pendant 10 minutes.
Étape 4Déposez les feuilles de chou vert dans la cocotte. Couvrez d’eau. Émiettez le bouillon cube, ajoutez les feuilles de laurier et les oignons avec les clous de girofle. Assaisonnez avec le sel et le poivre. Laissez mijoter à feu doux pendant 20 minutes dans une cocotte fermée.
Étape 5Pendant ce temps, lavez et pelez les pommes de terre. Découpez-les en morceaux avant de les incorporer dans la cocotte, avec les saucisses et le lard. Poursuivez la cuisson pendant 15 minutes sans couvrir la cocotte. Dégustez la potée de chou vert bien chaude."
Purée de pommes de terre maison,Pomme(s) de terre500 gAil1 gousse(s)Lait10 clCrème fraîche1 c. à soupeBeurre10 gSel poivre,Total :45 min,"Étape 1Pelez vos pommes de terre, rincez-les bien et déposez-les dans une marmite avec les gousses d'ail pelées. Couvrez d'eau froide légèrement salée.
Étape 2Portez à ébullition, puis faites cuire environ 25 min, jusqu'à ce que les pommes de terre soient suffisamment molles pour pouvoir s'écraser. En fin de cuisson, faites tiédir le lait.
Étape 3Dès qu'elles sont cuites, égouttez vos pommes de terre et vos gousses d'ail dans une passoire, puis écrasez-les à la fourchette ou au presse-purée dans un saladier, en ajoutant progressivement le lait tiède, la crème fraiche et le beurre.
Étape 4Quand la purée a bien tout absorbé, il ne vous reste plus qu'à l'assaisonner avec la muscade, du sel et du poivre."
Tartiflette facile et rapide,"Pomme de terre à chair ferme1,5 kgReblochon500 gallumette(s) de lardon fumé150 gCrème fraîche épaisse100 gVin blanc sec1 verre(s)Oignon(s)3Huile3 c. à soupeGros sel1 c. à soupePoivre blanc10 grainNoix de muscade1 pincée(s)",Total :1 h 5 min,"Étape 1Lavez soigneusement les pommes de terre. Remplissez un grand faitout d’eau et jetez-y le gros sel. Plongez les pommes de terre dans l’eau et faites-les cuire pendant 20 min après la reprise de l’ébullition.
Étape 2Pelez et émincez les oignons, en veillant bien à ôter le germe. Dans une poêle, faites chauffer l’huile et faites-y revenir les oignons émincés. Lorsqu’ils deviennent translucides, ajoutez-y les allumettes de lardons fumés. Poursuivez la cuisson en remuant régulièrement à l’aide d’une cuillère en bois, jusqu’à ce que les oignons et les lardons soient bien dorés. Déglacez la poêle avec le vin blanc et poursuivez la cuisson pendant 5 min. Réservez.
Étape 3Préchauffez le four th.6-7 (200°C). Découpez le reblochon en longues lamelles. Dans un pilon, écrasez les grains de poivre blanc. Pelez les pommes de terre cuites et coupez-les en grosses rondelles.
Étape 4Beurrez un grand plat à four ou de petits contenants individuels. Saupoudrez de noix de muscade et parsemez de poivre blanc concassé. Répartissez-y les pommes de terre, puis les oignons et les lardons dorés au vin blanc. Recouvrez le tout de crème fraîche, puis étalez-y les lamelles de fromage. Enfournez la tartiflette pendant 30 min, jusqu’à ce que le reblochon forme une croûte bien dorée et gratinée.
Étape 5Servez votre délicieuse tartiflette bien chaude, dès la sortie du four, accompagnée d’une belle salade verte à la vinaigrette et d’un verre de vin blanc de Savoie."
N/A,,N/A,
