Title,Ingredients,Time,Preparation,Image URL
N/A,,N/A,,N/A
Galette des Rois frangipane de ma grand-mère,"Pour la galette des rois :Pâte feuilletée(s)2Poudre d'amandes125 gSucre en poudre100 gBeurre mou70 gŒuf(s)1Blanc(s) d’œuf(s)1Rhum1 c. à soupeFève(s)1Eau
Pour la dorure :Jaune d'œuf(s)1",Total :45 min,"Étape 1Préchauffez le four à 210° en chaleur tournante.
Étape 2Dans le bol du robot ou dans un saladier, mélangez le beurre mou avec le sucre jusqu’à obtenir une consistance crémeuse. Ajoutez l'œuf entier et le blanc, la poudre d'amande, la vanille et le rhum. Mélangez pour obtenir une préparation homogène.
Étape 3Abaissez les deux pâtes feuilletées, découpez-y deux cercles de même diamètre, environ 28 cm. Déposez un premier disque de pâte sur une plaque de cuisson tapissée d’un papier sulfurisé. Répartissez-y la frangipane en laissant un bord d'environ 2 ou 3 cm. Cachez-y la fève.
Étape 4Au pinceau, humidifiez le rebord de pâte. Déposez le deuxième disque au-dessus. Appuyez légèrement avec vos doigts pour souder les bords des deux pâtes sur tout le tour de la galette. Chiquetez les bords pour une soudure parfaite : entaillez-les légèrement tous les 2 cm.
Étape 5Au pinceau, badigeonnez toute la surface de jaune d’œuf. Avec la pointe d'un couteau, dessinez le décor de votre choix à la surface de votre galette en veillant à ne pas percer la pâte.
Étape 6Enfournez 30 à 40 min. Prolongez la cuisson si nécessaire, la galette doit être parfaitement dorée.",N/A
Pot-au-feu traditionnel,Paleron de boeuf600 gGîte600 gPlat de côte600 gBœuf1 queue(s)Os à moëlle6Carotte(s)12Navet(s)6Poireau(x)8Céleri2 branche(s)Oignon(s)2Ail3 gousse(s)Poivre concassé25 grainBouquet(s) garni(s)1Clou(s) de girofle4Gros sel2 c. à soupe,Total :3 h 15 min,"Étape 1Épluchez tous les légumes, lavez-les puis tranchez-les en gros tronçons. Laissez les gousses d'ail en chemise. Pelez les oignons, coupez-les en 4 et piquez les clous de girofle sur quatre quarts. Saupoudrez avec du gros sel les extrémités de chaque os à moelle.
Étape 2Pour composer votre pot, à savoir une grande marmite ou une grosse cocotte, commencez par mettre les légumes et les oignons, ajoutez ensuite les quatre sortes de viande et les os à moelle, puis parfumez avec le bouquet garni, le poivre concassé, les gousses d'ail, et 1 c. à soupe de gros sel. Pour finir, recouvrez le tout d'eau froide.
Étape 3Couvrez, portez à ébullition, puis baissez le feu et laissez mijoter 3 heures à petits frémissements, en écumant régulièrement. Au terme de la cuisson, retirez la viande, les os et les légumes du bouillon à l'aide d'une écumoire. Tranchez la viande, puis disposez le tout dans un plat et réservez-le au chaud.
Étape 4Présentez le bouillon dans une soupière. Servez-le en entrée dans des assiettes creuses, avec des tranches de pain rassis (ou grillé) frottées à l'ail et coupées en morceaux au fond de l'assiette. Dégustez la moelle sur du pain, avec du sel et du poivre, puis régalez-vous d'un assortiment de viandes garni de légumes, le tout accompagné de mayonnaise et de moutarde.",N/A
N/A,,N/A,,N/A
Crêpes sucrées sans repos,Farine250 gŒuf(s)3Lait50 clSucre en poudre80 gBeurre fondu50 gSucre vanillé1 sachet(s),Total :1 h 8 min,"Étape 1Coupez le beurre en petits morceaux et faites-le fondre au micro-ondes dans un récipient adapté.
Étape 2Dans un saladier, rassemblez la farine, les œufs entiers, le sucre en poudre, le sucre vanillé, le lait et le beurre fondu.  Mélangez au batteur pour que la pâte ne soit ni trop épaisse ni trop liquide, et surtout, qu’elle ne contienne aucun grumeau.
Étape 3Inutile de laisser reposer la pâte ! Préchauffez directement votre poêle ou votre crêpière à bonne température pendant quelques secondes, en la beurrant généreusement afin que les crêpes n’adhèrent pas lors de la cuisson.
Étape 4Prenez une louche, versez-la et étalez la pâte sur toute la surface à l’aide d’un râteau à crêpes ou d’une spatule. Laissez cuire 1 min de chaque côté, et réservez. Procédez ainsi jusqu’à ce qu’il ne reste plus de pâte.
Étape 5Lorsque toutes vos crêpes sont prêtes, ajoutez-y de la pâte à tartiner, de la confiture, une boule de glace, des fruits ou encore du sucre et dégustez-les. Elles peuvent aussi être mangées nature, sans aucune garniture.",N/A
Tajine de poulet aux épices,"Poulet1,5 kgCarotte(s)1,2 kgRaisins secs100 gAmande(s) mondée(s)100 gAbricots secs6Oignon(s)4Ail2 gousse(s)Bouquet(s) garni(s) (persil, thym, laurier)1Graine de coriandre1 c. à caféCumin en poudre1 c. à caféCannelle1 bâton(s)Noix de muscade râpée1 pincée(s)Bouillon de volaille50 clHuile d'olive5 clSel1 pincée(s)Poivre1 pincée(s)",Total :1 h 30 min,"Étape 1À l’aide d’un couteau bien aiguisé, désossez le poulet et coupez sa chair en gros morceaux : cuisses, ailerons, blancs, etc. Pelez et hachez l’ail puis épluchez et émincez les oignons. Pilez grossièrement les amandes ainsi que les graines de coriandre.
Étape 2Dans un plat à tajine ou une grande cocotte, versez l’huile d’olive et faites-la chauffer sur feu moyen. Déposez-y les morceaux de poulet et faites-les revenir pendant une dizaine de minutes jusqu’à ce qu’ils soient bien colorés sur toutes les faces. Ôtez la viande du tajine ou de la cocotte et réservez.
Étape 3Faites revenir dans le tajine ou la cocotte les oignons émincés avec les amandes pilées. Laissez-les cuire pendant 5 min jusqu’à coloration également. Remettez les morceaux de poulet dans le tajine ou la cocotte. Ajoutez l’ail haché, le bouquet garni, le cumin en poudre, les graines de coriandre pilées, le bâton de cannelle et la noix de muscade râpée. Salez et poivrez selon votre goût puis mélangez bien à l’aide d’une cuillère en bois. Arrosez le tout de bouillon de volaille, puis baissez le feu à feu doux et laissez mijoter pendant 25 min en remuant régulièrement.
Étape 4Pendant ce temps, épluchez et coupez les carottes en rondelles. Au bout des 25 min, ajoutez-les dans la cocotte ou le tajine avec les raisins et les abricots secs. Poursuivez la cuisson pendant 25 min supplémentaires, toujours à feu doux. Servez aussitôt ce tajine marocain dès la fin de la cuisson, accompagné de semoule de blé saupoudrée de cannelle.",N/A
Poule au pot et riz long,Poule1Riz long200 gCarotte(s)4Navet(s)3Poireau(x)2Blanc(s) de poireau(x)2Rutabaga1Céleri1 branche(s)Oignon(s)1Farine30 gMargarine30 gCrème fraîche2 c. à soupeClou(s) de girofle2Bouquet(s) garni(s)1Gros sel1 c. à caféPoivre,Total :1 h 55 min,"Étape 1Déposez la poule dans un grand faitout, une marmite ou une cocotte. Couvrez-la d'eau froide, couvrez et portez à ébullition. Écumez puis baissez le feu et laissez mijoter à petits frémissements.
Étape 2Pendant ce temps, épluchez, lavez et coupez tous les légumes en gros morceaux. Conservez toutefois les verts de poireaux entiers.
Étape 3Plongez les carottes, les navets, le rutabaga, les blancs de poireaux, le céleri, l'oignon piqué de clous de girofle et le bouquet garni dans le bouillon clair. Salez légèrement puis laissez mijoter (toujours à couvert) 30 à 35 min.
Étape 4Ajoutez ensuite les verts de poireaux ficelés, et prolongez la cuisson durant encore 1 heure.
Étape 5En fin de cuisson, prenez une casserole, et versez-y suffisamment de bouillon de poule pour pouvoir cuire le riz. Portez-le à ébullition, puis versez-y le riz et laissez-le cuire le temps indiqué sur le paquet.
Étape 6Pendant ce temps, préparez la sauce : dans une autre casserole sur feu moyen à vif, faites fondre la margarine, ajoutez la farine, mélangez et laissez cuire à feu doux 2 min puis délayez petit à petit avec 50 cl de bouillon de poule, jusqu’à obtenir un sauce bien homogène.
Étape 7Portez à ébullition, coupez le feu puis ajoutez la crème fraîche et fouettez énergiquement.
Étape 8Au moment de servir, découpez la volaille et déposez-la au centre d’un plat entourée des légumes. Nappez le tout de sauce blanche et servez avec le riz.",N/A
N/A,,N/A,,N/A
N/A,,N/A,,N/A
Champignons de Paris crus farcis au Boursin,"Champignon(s) de paris16Boursin(s)80 gYaourt(s) nature(s)3 c. à soupeBrin(s) de ciboulette2Citron(s)0,5Poivre du moulin",Total :10 min,"Étape 1Pelez les champignons et enlevez délicatement le pied avec la pointe d'un couteau. Frottez-les avec le demi-citron pour éviter qu'ils noircissent.
Étape 2A l’aide d’une cuillère, garnissez chaque champignon de Boursin, donnez un tour de moulin à poivre et ajoutez de la ciboulette ciselée pour la décoration.",N/A
